layer,short_label,layer_group,alpha_mean,alpha_std,num_valid_alpha,q_l,stat_keep,q_keep,retained
encoder.block.5.layer.1.DenseReluDense.wi_1.weight,enc5.FFN In1,FFN In1,8.378736283506216,1.7763568394002505e-15,196,0.0,False,False,False
encoder.block.5.layer.1.DenseReluDense.wo.weight,enc5.FFN Out,FFN Out,3.2811696961097345,4.440892098500626e-16,196,0.5269549061435965,True,True,True
encoder.block.6.layer.0.SelfAttention.k.weight,enc6.Self K,Self K,3.2182699925772416,4.440892098500626e-16,196,0.5437909171792515,True,True,True
encoder.block.6.layer.0.SelfAttention.o.weight,enc6.Self O,Self O,2.9473787305350623,0.0,196,0.6226661252314599,True,True,True
encoder.block.6.layer.0.SelfAttention.q.weight,enc6.Self Q,Self Q,3.5659265903252164,0.013304492201068609,196,0.45099405457927516,True,True,True
encoder.block.6.layer.0.SelfAttention.v.weight,enc6.Self V,Self V,5.462093975428528,0.004887199258670101,196,0.1762262395427196,True,False,False
encoder.block.6.layer.1.DenseReluDense.wi_0.weight,enc6.FFN In0,FFN In0,3.1038573018262796,4.440892098500626e-16,196,0.5758062168045095,True,True,True
encoder.block.6.layer.1.DenseReluDense.wi_1.weight,enc6.FFN In1,FFN In1,6.443444318074276,0.0,196,0.0,False,False,False
encoder.block.6.layer.1.DenseReluDense.wo.weight,enc6.FFN Out,FFN Out,3.6694485132656878,0.0,196,0.43397007027065254,True,True,True
encoder.block.7.layer.0.SelfAttention.k.weight,enc7.Self K,Self K,3.534954166213906,0.0,196,0.4641569469350543,True,True,True
encoder.block.7.layer.0.SelfAttention.o.weight,enc7.Self O,Self O,3.0827829899456773,8.881784197001252e-16,196,0.5819056556356341,True,True,True
encoder.block.7.layer.0.SelfAttention.q.weight,enc7.Self Q,Self Q,3.444370059754425,0.005276419843214452,196,0.4831087857178071,True,True,True
encoder.block.7.layer.0.SelfAttention.v.weight,enc7.Self V,Self V,5.808150250094499,0.6432258166592107,196,0.030151214243975932,False,False,False
encoder.block.7.layer.1.DenseReluDense.wi_0.weight,enc7.FFN In0,FFN In0,3.1679636171139656,0.0,196,0.5576424672297354,True,True,True
encoder.block.7.layer.1.DenseReluDense.wi_1.weight,enc7.FFN In1,FFN In1,8.588189661325996,1.7763568394002505e-15,196,0.0,False,False,False
encoder.block.7.layer.1.DenseReluDense.wo.weight,enc7.FFN Out,FFN Out,3.567757066942257,0.0,196,0.4566061907518782,True,True,True
encoder.block.8.layer.0.SelfAttention.k.weight,enc8.Self K,Self K,3.176889905162839,0.0,196,0.555159174353421,True,True,True
encoder.block.8.layer.0.SelfAttention.o.weight,enc8.Self O,Self O,3.404707262476816,4.440892098500626e-16,196,0.4953904277515129,True,True,True
encoder.block.8.layer.0.SelfAttention.q.weight,enc8.Self Q,Self Q,3.5354308576517433,0.017216148439157287,196,0.45614252170165476,True,True,True
encoder.block.8.layer.0.SelfAttention.v.weight,enc8.Self V,Self V,4.078525368528475,0.0019659693899163866,196,0.3530012701986005,True,True,True
encoder.block.8.layer.1.DenseReluDense.wi_0.weight,enc8.FFN In0,FFN In0,3.2396199363283515,8.881784197001252e-16,196,0.5380168383288523,True,True,True
encoder.block.8.layer.1.DenseReluDense.wi_1.weight,enc8.FFN In1,FFN In1,6.953014183422919,8.881784197001252e-16,196,0.0,False,False,False
encoder.block.8.layer.1.DenseReluDense.wo.weight,enc8.FFN Out,FFN Out,3.515933363448173,8.881784197001252e-16,196,0.4685923234799022,True,True,True
encoder.block.9.layer.0.SelfAttention.k.weight,enc9.Self K,Self K,3.5838765900724123,4.440892098500626e-16,196,0.45294084447544564,True,True,True
encoder.block.9.layer.0.SelfAttention.o.weight,enc9.Self O,Self O,3.4994876962320443,1.3322676295501878e-15,196,0.47246136563039326,True,True,True
encoder.block.9.layer.0.SelfAttention.q.weight,enc9.Self Q,Self Q,3.978302338902378,0.05525099450454258,196,0.35202071925843126,True,True,True
encoder.block.9.layer.0.SelfAttention.v.weight,enc9.Self V,Self V,6.210745601476189,0.04686835096005767,196,0.0,False,False,False
encoder.block.9.layer.1.DenseReluDense.wi_0.weight,enc9.FFN In0,FFN In0,3.4365496767297943,4.440892098500626e-16,196,0.4875656692308004,True,True,True
encoder.block.9.layer.1.DenseReluDense.wi_1.weight,enc9.FFN In1,FFN In1,7.073236178818391,2.6645352591003757e-15,196,0.0,False,False,False
encoder.block.9.layer.1.DenseReluDense.wo.weight,enc9.FFN Out,FFN Out,3.4111792173481486,1.3322676295501878e-15,196,0.4937899464627587,True,True,True
